egotist,boaster
belittle,put somebody down
serene,peaceful
resolve,determine
extrapolate,estimate or conclude
embellish,add details to
disheartened,losing confidence
derive,originate in
amiable,friendly
anachronism,belonging to another time
unprecedented,never done before
crystallize,become definite
paragon,best of its kind
tarnish,disgrace
minconstrue,misinterpret
exemplify,be a perfect example of
crestfallen,disappointed
telling,significant
abstain,hold back from doing
impeccable,flawless
artful,clever and deceptive
chivalrous,courteous
avert,prevent
appease,make less angry
transitory,short lasting
indifference,lack of interest
eccentric,peculiar
equitable,fair
autocratic,tyrannical
intimation,indirect suggestion
evenhanded,fair
reservation,doubt
ornate,elaborate decoration
irrevocable,not able to be changed
exorbitant,excessive
misogynist,hater of women
martial,warlike
enamored,charmed
nonchalant,appearing unconcerned
apathy,lack of emotion
abysmal,really horrible
palatable,acceptable
hoodwink,deceive
trenchant,forceful_strong
empriricism,action based on practice
diminutive,small
pellucid,easy to understand
thrifty,wise with money
altruism,concern for others
antiquated,old
appreciable,noticeable
dissipate,squander
frugal,spending wisely
intermittent,occurring on and off
iconoclastic,defying tradition
unruly,noisy_uncontrollable
disingenous,pretending to be honest
equivocate,speak vaguely
veritable,without a doubt
unassailable,immune to attack
meticulous,detail oriented
affluent,wealthy
spartan,unconcerned with comfort
demean,insult
accolade,high praise
indecorous,impolite
pith,most decorous part
laudable,praiseworthy
pragmatic,practical
chauvinist,elitist
duplicity,deceit
steadfast,unwavering
obtuse,slow to learn
banality,cliche
doleful,very sad
docile,easily managed
whimsical,driven by impulse
dupe,swindle
transient,short lasting
badger,pester
thwart,block
placate,make less angry
benign,harmless
jocular,humorous
vitriol,abusive language
contemptuous,scornful
profusion,abundance
refute,disprove
stringent,strict_harsh
cornucopia,abundant supply
forthright,honest in speaking
dispassionate,objective
unforthcoming,not cooperative
bemoan,lament
panacea,cure all
immaterial,irrelevant
aberrant,abnormal
squelch,suppress
primacy,of greatest importance
arduos,requiring great effort
preemptively,done first
emulate,imitate
entice,tempt
attenuate,taper off
reconcile,make compatible
debonair,sophisticated
patronize,treat with apparent kindness which betrays a feeling of superiority_treat condescendingly
aphorism,short saying
elicit,call forth
cataclysm,violent upheaval
provisional,not final
hodgepodge,mixture
artlessness,innocence
languish,become weak
assiduously,with great care
unequivocal,not vague
heyday,pinnacle
cardinal,most important
credulity,tendency to believe
scrupulous,using extreme care
flippant,not showing respect
elusive,hard to pin down
estimable,deserving respect
betray,reveal
copious,abundant
inimitable,without equal
hound,pursue relentlessly
obliging,eager to help
tirade,angry speech
fickle,changing unpredictably
misanthrope,hater of people
improvident,not careful
preempt,take the place of
base,without principles
presumptuous,overly forward
cede,give up control
savvy,well informed
creditable,good but not great
compound,make more intense